title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Up,Original,0,2009-05-29T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Up,Original,0,2009-05-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Boys: The Sherman Brothers' Story,Original,0,2009-05-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Trail of the Panda,Original,0,2009-05-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Earth,Original,0,2009-04-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hannah Montana: The Movie,Original,1,2009-04-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Race to Witch Mountain,Original,1,2009-03-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Jonas Brothers: The 3D Concert Experience,Original,0,2009-02-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Bedtime Stories,Original,0,2008-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Bolt,Original,0,2008-11-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tinker Bell,Original,1,2008-10-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
High School Musical 3: Senior Year,Sequel,0,2008-10-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Roadside Romeo,Original,0,2008-10-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Morning Light,Original,0,2008-10-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beverly Hills Chihuahua,Original,0,2008-10-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Little Mermaid: Ariel's Beginning,Prequel,0,2008-08-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Star Wars: The Clone Wars,Spin-off,0,2008-08-10T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
WALL-E,Original,0,2008-06-27T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
WALL-E,Original,0,2008-06-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Incredible Hulk,Original,1,2008-06-13T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Indiana Jones and the Kingdom of the Crystal Skull,Sequel,0,2008-05-22T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Chronicles of Narnia: Prince Caspian,Sequel,1,2008-05-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Iron Man,Original,1,2008-05-02T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
College Road Trip,Original,0,2008-03-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Original,0,2008-02-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
National Treasure: Book of Secrets,Sequel,0,2007-12-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Enchanted,Original,0,2007-11-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Game Plan,Original,0,2007-09-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Pixar Story,Original,0,2007-08-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Underdog,Original,0,2007-08-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ratatouille,Original,0,2007-06-29T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Ratatouille,Original,0,2007-06-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Secret of the Magic Gourd,Original,0,2007-06-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pirates of the Caribbean: At World's End,Sequel,0,2007-05-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Meet the Robinsons,Original,1,2007-03-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Bridge to Terabithia,Original,1,2007-02-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cinderella III: A Twist in Time,Sequel,0,2007-02-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Fox and the Hound 2,Sequel,0,2006-12-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Santa Clause 3: The Escape Clause,Sequel,0,2006-11-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Nightmare Before Christmas 3D,Original,0,2006-10-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Brother Bear 2,Sequel,0,2006-08-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Invincible,Original,0,2006-08-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pirates of the Caribbean: Dead Man's Chest,Sequel,0,2006-07-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Leroy & Stitch,Sequel,0,2006-06-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cars,Original,0,2006-06-09T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Cars,Original,0,2006-06-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Wild,Original,0,2006-04-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Shaggy Dog,Remaster,1,2006-03-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Eight Below,Remaster,0,2006-02-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Bambi II,Sequel,0,2006-02-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Roving Mars,Original,0,2006-01-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Glory Road,Original,0,2006-01-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Kronk's New Groove,Sequel,0,2005-12-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Original,1,2005-12-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Chicken Little,Original,1,2005-11-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Greatest Game Ever Played,Original,1,2005-09-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pooh's Heffalump Halloween Movie,Sequel,0,2005-09-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lilo & Stitch 2: Stitch Has a Glitch,Sequel,0,2005-08-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Valiant,Original,0,2005-08-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Sky High,Original,0,2005-07-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Howl's Moving Castle,Original,0,2005-07-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Herbie: Fully Loaded,Sequel,0,2005-06-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tarzan II,Sequel,0,2005-06-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Star Wars: Episode III: Revenge of the Sith,Prequel,0,2005-05-19T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Ice Princess,Original,0,2005-03-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Pacifier,Original,0,2005-03-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pooh's Heffalump Movie,Original,0,2005-02-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mulan II,Sequel,0,2005-02-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Aliens of the Deep,Original,0,2005-01-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
National Treasure,Original,0,2004-11-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mickey's Twice Upon a Christmas,Sequel,0,2004-11-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Incredibles,Original,0,2004-11-05T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
The Incredibles,Original,0,2004-11-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Mickey, Donald, Goofy: The Three Musketeers",Original,1,2004-08-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Princess Diaries 2: Royal Engagement,Sequel,0,2004-08-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
America's Heart and Soul,Original,0,2004-07-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Around the World in 80 Days,Original,1,2004-06-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Sacred Planet,Original,0,2004-04-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Home on the Range,Original,0,2004-04-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Springtime with Roo,Original,1,2004-03-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Confessions of a Teenage Drama Queen,Original,1,2004-02-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Lion King 1½,Sequel,0,2004-02-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Miracle,Original,0,2004-02-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Teacher's Pet,Original,1,2004-01-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Young Black Stallion,Original,1,2003-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Haunted Mansion,Original,1,2003-11-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Brother Bear,Original,0,2003-11-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
George of the Jungle 2,Sequel,0,2003-10-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Stitch! The Movie,Sequel,0,2003-08-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Freaky Friday,Remaster,1,2003-08-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pirates of the Caribbean: The Curse of the Black Pearl,Original,1,2003-07-09T00:00:00Z,Walt Disney Pictures,Based on theme park ride,NA,NA,NA,NA,NA,NA
Finding Nemo,Original,0,2003-05-30T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Finding Nemo,Original,0,2003-05-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Atlantis: Milo's Return,Sequel,0,2003-05-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Lizzie McGuire Movie,Original,1,2003-05-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Holes,Original,1,2003-04-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ghosts of the Abyss,Original,0,2003-04-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Piglet's Big Movie,Original,1,2003-03-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Inspector Gadget 2,Sequel,1,2003-03-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Jungle Book 2,Original,0,2003-02-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
101 Dalmatians II: Patch's London Adventure,Sequel,0,2003-01-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Treasure Planet,Original,1,2002-11-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Santa Clause 2,Sequel,0,2002-11-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tuck Everlasting,Original,1,2002-10-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Spirited Away,Original,0,2002-09-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mickey's House of Villains,Sequel,1,2002-09-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Country Bears,Original,1,2002-07-26T00:00:00Z,Walt Disney Pictures,Theme park ride,NA,NA,NA,NA,NA,NA
Tarzan & Jane,Sequel,0,2002-07-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lilo & Stitch,Original,0,2002-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Star Wars: Episode II: Attack of the Clones,Prequel,0,2002-05-16T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Rookie,Original,0,2002-03-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Hunchback of Notre Dame II,Sequel,0,2002-03-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cinderella II: Dreams Come True,Sequel,0,2002-02-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Return to Never Land,Sequel,0,2002-02-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Snow Dogs,Original,1,2002-01-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mickey's Magical Christmas: Snowed in at the House of Mouse,Original,0,2001-11-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Monsters, Inc.",Original,0,2001-11-02T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
"Monsters, Inc.",Original,0,2001-11-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Max Keeble's Big Move,Original,0,2001-10-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Princess Diaries,Original,1,2001-08-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Atlantis: The Lost Empire,Original,0,2001-06-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lady and the Tramp II: Scamp's Adventure,Sequel,0,2001-02-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Recess: School's Out,Original,1,2001-02-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Emperor's New Groove,Original,0,2000-12-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
102 Dalmatians,Sequel,0,2000-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Remember the Titans,Original,0,2000-09-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Little Mermaid II: Return to the Sea,Sequel,0,2000-09-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Buzz Lightyear of Star Command: The Adventure Begins,Spin-off,0,2000-08-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Kid,Original,0,2000-07-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Dinosaur,Original,0,2000-05-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Whispers: An Elephant's Tale,Original,0,2000-03-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
An Extremely Goofy Movie,Sequel,1,2000-02-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Tigger Movie,Original,1,2000-02-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Fantasia 2000,Original,0,1999-12-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Toy Story 2,Sequel,0,1999-11-24T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Toy Story 2,Sequel,0,1999-11-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mickey's Once Upon a Christmas,Original,0,1999-11-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Straight Story,Original,0,1999-10-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hercules: Zero to Hero,Original,0,1999-08-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Inspector Gadget,Original,1,1999-07-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tarzan,Original,1,1999-06-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Star Wars: Episode I: The Phantom Menace,Prequel,0,1999-05-19T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Endurance,Original,0,1999-05-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Doug's 1st Movie,Original,1,1999-03-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
My Favorite Martian,Original,1,1999-02-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mighty Joe Young,Original,0,1998-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
A Bug's Life,Original,0,1998-11-25T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
A Bug's Life,Original,0,1998-11-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
I'll Be Home for Christmas,Original,0,1998-11-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Lion King II: Simba's Pride,Sequel,0,1998-10-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Jungle Book: Mowgli's Story,Remaster,1,1998-09-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pocahontas II: Journey to a New World,Sequel,0,1998-08-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Parent Trap,Remaster,1,1998-07-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mulan,Original,1,1998-06-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Meet the Deedles,Original,0,1998-03-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beauty and the Beast: Belle's Magical World,Sequel,0,1998-02-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mr. Magoo,Original,1,1997-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Flubber,Remaster,1,1997-11-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beauty and the Beast: The Enchanted Christmas,Sequel,0,1997-11-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
RocketMan,Original,0,1997-10-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pooh's Grand Adventure: The Search for Christopher Robin,Original,1,1997-08-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Air Bud,Original,0,1997-08-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
George of the Jungle,Original,1,1997-07-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hercules,Original,1,1997-06-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mighty Ducks the Movie: The First Face-Off,Remaster,0,1997-04-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Honey, We Shrunk Ourselves",Sequel,0,1997-03-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Jungle 2 Jungle,Original,0,1997-03-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
That Darn Cat,Original,1,1997-02-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
101 Dalmatians,Original,1,1996-11-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
D3: The Mighty Ducks,Sequel,0,1996-10-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
First Kid,Original,0,1996-08-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Aladdin and the King of Thieves,Sequel,0,1996-08-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Hunchback of Notre Dame,Original,1,1996-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
James and the Giant Peach,Original,1,1996-04-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Homeward Bound II: Lost in San Francisco,Sequel,0,1996-03-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Muppet Treasure Island,Original,1,1996-02-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tom and Huck,Original,0,1995-12-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Toy Story,Original,0,1995-11-22T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Toy Story,Original,0,1995-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Frank and Ollie,Original,0,1995-10-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Big Green,Original,0,1995-09-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
A Kid in King Arthur's Court,Original,0,1995-08-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Operation Dumbo Drop,Original,0,1995-07-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pocahontas,Original,0,1995-06-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
A Goofy Movie,Original,0,1995-04-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tall Tale,Original,0,1995-03-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Man of the House,Original,0,1995-03-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Heavyweights,Original,0,1995-02-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Gargoyles the Movie: The Heroes Awaken,Original,0,1995-01-31T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Rudyard Kipling's The Jungle Book,Remaster,0,1994-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Santa Clause,Original,0,1994-11-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Squanto: A Warrior's Tale,Original,0,1994-10-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Radioland Murders,Original,0,1994-10-21T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Angels in the Outfield,Original,0,1994-07-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Lion King,Original,0,1994-06-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Return of Jafar,Sequel,0,1994-05-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
White Fang 2: Myth of the White Wolf,Sequel,0,1994-04-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
D2: The Mighty Ducks,Sequel,0,1994-03-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Blank Check,Original,0,1994-02-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Iron Will,Original,0,1994-01-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Three Musketeers,Original,1,1993-11-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cool Runnings,Original,0,1993-10-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hocus Pocus,Original,0,1993-07-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Adventures of Huck Finn,Original,1,1993-04-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
A Far Off Place,Original,1,1993-03-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Homeward Bound: The Incredible Journey,Original,1,1993-02-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Muppet Christmas Carol,Original,1,1992-12-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Aladdin,Original,1,1992-11-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Mighty Ducks,Original,0,1992-10-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Honey, I Blew Up the Kid",Sequel,0,1992-07-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Newsies,Original,0,1992-04-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beauty and the Beast,Original,1,1991-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Rocketeer,Original,1,1991-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Wild Hearts Can't Be Broken,Original,1,1991-05-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Shipwrecked,Original,1,1991-03-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
White Fang,Original,0,1991-01-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Rescuers Down Under,Sequel,0,1990-11-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
DuckTales the Movie: Treasure of the Lost Lamp,Original,1,1990-08-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Little Mermaid,Original,1,1989-11-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cheetah,Original,1,1989-08-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
