title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Jungle Cruise,Original,1,2021-07-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Black Widow,Original,1,2021-07-09T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Luca,Original,0,2021-06-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Luca,Original,0,2021-06-18T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Cruella,Original,0,2021-05-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Raya and the Last Dragon,Original,0,2021-03-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Flora & Ulysses,Original,0,2021-02-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Last Warrior: Root of Evil,Sequel,0,2021-01-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Soul,Original,0,2020-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Soul,Original,0,2020-12-25T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Safety,Original,0,2020-12-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Godmothered,Original,0,2020-12-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mulan,Remaster,0,2020-09-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The One and Only Ivan,Original,1,2020-08-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Magic Camp,Original,0,2020-08-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Black Is King,Original,0,2020-07-31T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hamilton,Original,0,2020-07-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Artemis Fowl,Original,1,2020-06-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Dolphin Reef,Original,0,2020-04-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Elephant,Original,0,2020-04-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Stargirl,Original,0,2020-03-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Onward,Original,0,2020-03-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Onward,Original,0,2020-03-06T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Timmy Failure: Mistakes Were Made,Original,0,2020-02-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Togo,Original,0,2019-12-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
